"place_id","place_name","category","latitude","longitude","pet_policy"
"4008448","올리브영 광주동천점","","35.1716151","126.8655280","정보없음"
"4008449","올리브영 대구앞산점","","35.8356564","128.5793981","정보없음"
"4008450","올리브영 대구대명점","","35.8397496","128.5675436","정보없음"
"4008451","올리브영 계명대점","","35.8553656","128.4937899","정보없음"
"4008453","올리브영 대구강창역점","","35.8534267","128.4788936","정보없음"
"4008712","올리브영 대구성서모다점","","35.8377832","128.4913688","정보없음"
"4008713","올리브영 대구죽전네거리점","","35.8492760","128.5366803","정보없음"
"4008714","올리브영 대구서부정류장점","","35.8359730","128.5559944","정보없음"
"4008715","올리브영 대구이곡점","","35.8549657","128.5099875","정보없음"
"4008716","올리브영 대구월성점","","35.8245672","128.5268071","정보없음"
"4008717","올리브영 대구진천점","","35.8151532","128.5238266","정보없음"
"4008718","올리브영 대구죽곡점","","35.8574401","128.4648047","정보없음"
"4008719","올리브영 대구테크노엠스퀘어점","","35.6930633","128.4629008","정보없음"
"4008720","올리브영 대구현풍점","","35.6931967","128.4563415","정보없음"
"4011565","NOS7","","37.5216994","127.0203847","정보없음"
"4011573","아티산코리아","","37.5199345","127.0331912","정보없음"
"4011574","감탄 도산공원 스토어","","37.5222386","127.0325628","정보없음"
"4011575","힘도산 HDEX 플래그십스토어","","37.5256968","127.0360397","정보없음"
"4011577","스톤헨지 롯데백화점 안산점","","37.3180026","126.8345004","정보없음"
"4011578","말본6451 도산플래그쉽스토어","","37.5261536","127.0349334","정보없음"
"4011587","LG전자 베스트샵 대치본점","","37.4971286","127.0705535","정보없음"
"4011626","브룩스브라더스 스타필드 안성점","","36.9946334","127.1472496","정보없음"
"4011627","닥터마틴 스타필드 안성점","","36.9946334","127.1472496","정보없음"
"4011628","스와치 스타필드 안성점","","36.9946334","127.1472496","정보없음"
"4011629","쌤소나이트 스타필드 안성점","","36.9946334","127.1472496","정보없음"
"4011630","내셔널지오그래픽 스타필드 안성점","","36.9946334","127.1472496","정보없음"
"4011634","파타고니아 스타필드 안성점","","36.9946334","127.1472496","정보없음"
"4011648","유니클로 스타필드 안성점","","36.9946334","127.1472496","정보없음"
"4011650","쉬즈미스 스타필드 안성점","","36.9946334","127.1472496","정보없음"
"4011654","삼성스토어 안성","","37.0126951","127.2589144","정보없음"
"4011656","아트박스 안성중앙점","","37.0075228","127.2707783","정보없음"
"4011665","프라다퍼퓸 현대백화점 무역센터점","","37.5086151","127.0597651","정보없음"
"4011668","라이프워크 파르나스몰점","","37.5091917","127.0608069","정보없음"
"4011682","교보문고 수유점","","37.6383189","127.0265481","정보없음"
"4011684","교보문고 롯데백화점 평촌점","","37.3900022","126.9501786","정보없음"
"4011688","LG전자 베스트샵 평촌본점","","37.3920837","126.9739463","정보없음"
"4011689","아트박스 안양엔터식스점","","37.4014350","126.9230027","정보없음"
"4011690","롯데하이마트 엔터식스안양역점","","37.4014350","126.9230027","정보없음"
"4011691","삼성스토어 안양","","37.3941308","126.9258188","정보없음"
"4011692","LG전자 베스트샵 안양점","","37.3948389","126.9252354","정보없음"
"4011697","안다르 LF스퀘어 양주점","","37.8313923","127.0522919","정보없음"
"4011701","라이프워크 프리미엄빌리지 여주점","","37.2418073","127.6169531","정보없음"
"4011703","미즈노 프리미엄빌리지 여주점","","37.2422434","127.6164563","정보없음"
"4011706","블랙야크 우이점","","37.6624113","127.0097246","정보없음"
"4011710","ABC마트 SE NC백화점 강서점","","37.5599335","126.8404988","정보없음"
"4011738","삼성스토어 관악봉천","","37.4828518","126.9414498","정보없음"
"4011741","아트박스 낙성대점","","37.4770198","126.9626445","정보없음"
"4011744","트라이엄프 엘르 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011749","JJ지고트 롯데백화점 관악점","","37.4904955","126.9249817","정보없음"
"4011750","내셔널지오그래픽 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011756","언더아머 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011762","헬렌카민스키 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011763","삼성스토어 신림","","37.4887569","126.9285541","정보없음"
"4011764","아트박스 구의점","","37.5417965","127.0947092","정보없음"
"4011766","삼성스토어 광진","","37.5523881","127.0774115","정보없음"
"4011772","엠플레이그라운드 건대점","","37.5407921","127.0702568","정보없음"
"4011775","존스 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011780","오프라벨 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011781","로저비비에 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011783","말본골프 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011784","PXG 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011785","행켈 & 스타우브 신세계사이먼프리미엄아울렛 여주점","","37.2459467","127.6123854","정보없음"
"4011787","롯데하이마트 여주점","","37.2882491","127.6347427","정보없음"
"4011789","골프프렌드골때려골프 오산점","","37.1477566","127.0785065","정보없음"
"4011790","아트박스 오산점","","37.1459916","127.0694328","정보없음"
"4011792","쉬즈미스 구로디지털단지점","","37.4838066","126.9017562","정보없음"
"4011799","말본골프 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4008721","올리브영 대구화원점","","35.8033633","128.4967339","정보없음"
"4008722","올리브영 대구동호점","","35.8663642","128.7243746","정보없음"
"4011800","스노우피크 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011801","어뉴골프 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011803","다이나핏 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011808","커버낫 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011809","살로몬 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011811","파타고니아 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011813","드로우핏 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011815","윌슨 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011816","린 현대아울렛 가산점","","37.4776190","126.8890553","정보없음"
"4011819","탑텐키즈 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011821","쉬즈미스 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4011825","풋조이 롯데프리미엄아울렛 기흥점","","37.2255420","127.1212840","정보없음"
"4012543","한국금거래소 골드쉘 마포점","","37.5515008","126.9139502","정보없음"
"4027286","다이소 홈플러스 상봉점","","37.5983328","127.0916241","정보없음"
"4011875","미셸탠디 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4013190","버버리남성 롯데백화점 잠실 에비뉴엘점","","37.5137130","127.1043018","정보없음"
"4010554","타미야 플라모델 팩토리 스타필드 하남점","","37.5454041","127.2239403","정보없음"
"4010562","골프파트너앤코스모 위례신도시점","","37.4785918","127.1482712","정보없음"
"4013031","에잇세컨즈 현대백화점 신촌점 유플렉스","","37.5567378","126.9365597","정보없음"
"4012900","에잇세컨즈 송도 트리플스트리트점","","37.3804451","126.6602318","정보없음"
"4011702","에잇세컨즈 프리미엄빌리지 여주점","","37.2423541","127.6153787","정보없음"
"4012473","에잇세컨즈 동탄레이크꼬모점","","37.1720681","127.1041406","정보없음"
"4011900","F.G.F종합관 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4010625","F.G.F 현대프리미엄아울렛 김포점","","37.5972369","126.7852336","정보없음"
"4013188","나이키 롯데월드타워점","","37.5137130","127.1043018","정보없음"
"2927404","다이소 서울시청광장점","","37.5647034","126.9766271","정보없음"
"4013067","S.T.Dupont 신세계백화점 강남점","","37.5039352","127.0024130","정보없음"
"4009612","모노로그 제주중앙지하상가점","","33.5128377","126.5244401","정보없음"
"801285","AK플라자 평택","","36.9918975","127.0832887","정보없음"
"4009610","디즈니골프 제주중앙지하상가점","","33.5128377","126.5244401","정보없음"
"4009611","그린조이 제주중앙지하상가점","","33.5128377","126.5244401","정보없음"
"3305767","휴고보스 신세계사이먼프리미엄 아울렛 제주점","","33.3049727","126.3163520","정보없음"
"2907796","다이나핏코리아 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"3307493","르꼬끄스포르티브 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"2904560","폴로랄프로렌 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"2924392","본지플로어 현대아울렛 동대문점","","37.5687346","127.0076665","정보없음"
"2903559","준지남성 여성 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"690557","신세계사이먼 여주 프리미엄 아울렛","","37.2420000","127.6128000","정보없음"
"529493","김일성 별장","","38.4724805","128.4431427","정보없음"
"1039170","옥토끼우주센터","","37.6742000","126.4871553","정보없음"
"1940660","부소담악(추소정)","","36.3522365","127.5636944","정보없음"
"2613673","삼척장미공원","","37.4323410","129.1796597","정보없음"
"2536133","매미성","","34.9682131","128.7050934","정보없음"
"1919548","순천만국가정원","","34.9286032","127.4996986","정보없음"
"126313","우수영관광지","","34.5726489","126.3101440","정보없음"
"2911498","롯데백화점 안산점","","37.3180026","126.8345004","정보없음"
"129218","백제불교최초도래지","","35.3619979","126.4303070","정보없음"
"126419","다산초당","","34.5806497","126.7450730","정보없음"
"128992","마량미항","","34.4489330","126.8189860","정보없음"
"127664","최참판댁","","35.1555940","127.6880900","정보없음"
